Time,Hand,Joint,Position_X,Position_Y,Position_Z
2025-03-10 17:21:13,Left,Wrist,-0.7735077,0.7909794,0.840039
2025-03-10 17:21:13,Left,Palm,-0.7540219,0.815217,0.9031227
2025-03-10 17:21:13,Left,ThumbMetacarpal,-0.7302607,0.7966077,0.8699657
2025-03-10 17:21:13,Left,ThumbProximal,-0.7024493,0.8006842,0.8906693
2025-03-10 17:21:13,Left,ThumbDistal,-0.6869485,0.8026832,0.9234158
2025-03-10 17:21:13,Left,ThumbTip,-0.6744446,0.8019563,0.9466974
2025-03-10 17:21:13,Left,IndexMetacarpal,-0.7422395,0.8020726,0.8720745
2025-03-10 17:21:13,Left,IndexProximal,-0.7252838,0.8323747,0.9254
2025-03-10 17:21:13,Left,IndexIntermediate,-0.7125386,0.829805,0.9639928
2025-03-10 17:21:13,Left,IndexDistal,-0.7032632,0.8172835,0.9849253
2025-03-10 17:21:13,Left,IndexTip,-0.6960112,0.8027211,1.002624
2025-03-10 17:21:13,Left,MiddleMetacarpal,-0.7595252,0.7992778,0.8749952
2025-03-10 17:21:13,Left,MiddleProximal,-0.7485186,0.8311561,0.9312502
2025-03-10 17:21:13,Left,MiddleIntermediate,-0.7402521,0.8343858,0.9764801
2025-03-10 17:21:13,Left,MiddleDistal,-0.7311113,0.8231274,1.002263
2025-03-10 17:21:13,Left,MiddleTip,-0.7224545,0.810814,1.02448
2025-03-10 17:21:13,Left,RingMetacarpal,-0.7778144,0.7967834,0.8805717
2025-03-10 17:21:13,Left,RingProximal,-0.7674453,0.8194213,0.9329081
2025-03-10 17:21:13,Left,RingIntermediate,-0.7612122,0.8229078,0.9741662
2025-03-10 17:21:13,Left,RingDistal,-0.7517154,0.8141679,0.9996132
2025-03-10 17:21:13,Left,RingTip,-0.7406226,0.8038032,1.02094
2025-03-10 17:21:13,Left,LittleMetacarpal,-0.7845461,0.7912107,0.8839567
2025-03-10 17:21:13,Left,LittleProximal,-0.7845151,0.8033999,0.9314338
2025-03-10 17:21:13,Left,LittleIntermediate,-0.7788445,0.8055318,0.9638584
2025-03-10 17:21:13,Left,LittleDistal,-0.7717627,0.7992603,0.9835093
2025-03-10 17:21:13,Left,LittleTip,-0.7617224,0.7935253,1.004056
2025-03-10 17:21:13,Right,Wrist,-0.4160247,0.9911334,0.792725
2025-03-10 17:21:13,Right,Palm,-0.4097463,1.056868,0.815129
2025-03-10 17:21:13,Right,ThumbMetacarpal,-0.3917188,1.034248,0.7788637
2025-03-10 17:21:13,Right,ThumbProximal,-0.3721447,1.06216,0.7713486
2025-03-10 17:21:13,Right,ThumbDistal,-0.3565406,1.09486,0.7693862
2025-03-10 17:21:13,Right,ThumbTip,-0.3391478,1.113765,0.7631406
2025-03-10 17:21:13,Right,IndexMetacarpal,-0.3985083,1.032778,0.7903507
2025-03-10 17:21:13,Right,IndexProximal,-0.3892071,1.09157,0.8155069
2025-03-10 17:21:13,Right,IndexIntermediate,-0.397451,1.1313,0.8120424
2025-03-10 17:21:13,Right,IndexDistal,-0.4060745,1.154845,0.8048155
2025-03-10 17:21:13,Right,IndexTip,-0.41541,1.176169,0.7988107
2025-03-10 17:21:13,Right,MiddleMetacarpal,-0.4128612,1.027722,0.7992239
2025-03-10 17:21:13,Right,MiddleProximal,-0.4066314,1.086014,0.8310341
2025-03-10 17:21:13,Right,MiddleIntermediate,-0.4221923,1.128282,0.8212476
2025-03-10 17:21:13,Right,MiddleDistal,-0.4342821,1.152853,0.8100619
2025-03-10 17:21:13,Right,MiddleTip,-0.4455127,1.175185,0.8002988
2025-03-10 17:21:13,Right,RingMetacarpal,-0.4297351,1.02545,0.8108788
2025-03-10 17:21:13,Right,RingProximal,-0.427094,1.078043,0.8350869
2025-03-10 17:21:13,Right,RingIntermediate,-0.4419796,1.116978,0.831116
2025-03-10 17:21:13,Right,RingDistal,-0.4531999,1.142075,0.8234786
2025-03-10 17:21:13,Right,RingTip,-0.4626108,1.164566,0.8139443
2025-03-10 17:21:13,Right,LittleMetacarpal,-0.4390177,1.025002,0.8120878
2025-03-10 17:21:13,Right,LittleProximal,-0.448204,1.067873,0.8340037
2025-03-10 17:21:13,Right,LittleIntermediate,-0.4636449,1.096696,0.8383507
2025-03-10 17:21:13,Right,LittleDistal,-0.4753226,1.114874,0.8353784
2025-03-10 17:21:13,Right,LittleTip,-0.4856706,1.135767,0.8318823
2025-03-10 17:37:50,Left,Wrist,-0.183797,0.9207599,0.2879923
2025-03-10 17:37:50,Left,Palm,-0.2047579,0.9767268,0.3255109
2025-03-10 17:37:50,Left,ThumbMetacarpal,-0.2242602,0.9528103,0.2894418
2025-03-10 17:37:50,Left,ThumbProximal,-0.2543528,0.970608,0.2951025
2025-03-10 17:37:50,Left,ThumbDistal,-0.2800046,0.9945588,0.3062125
2025-03-10 17:37:50,Left,ThumbTip,-0.304261,1.005346,0.3100333
2025-03-10 17:37:50,Left,IndexMetacarpal,-0.214197,0.9530341,0.2986589
2025-03-10 17:37:50,Left,IndexProximal,-0.2346392,1.002005,0.3377017
2025-03-10 17:37:50,Left,IndexIntermediate,-0.239827,1.041753,0.3477076
2025-03-10 17:37:50,Left,IndexDistal,-0.241265,1.068173,0.3486094
2025-03-10 17:37:50,Left,IndexTip,-0.2410794,1.092523,0.349963
2025-03-10 17:37:50,Left,MiddleMetacarpal,-0.1968948,0.9524913,0.3030003
2025-03-10 17:37:50,Left,MiddleProximal,-0.2126209,1.000962,0.3480216
2025-03-10 17:37:50,Left,MiddleIntermediate,-0.2122301,1.047713,0.3471079
2025-03-10 17:37:50,Left,MiddleDistal,-0.2108295,1.077024,0.34082
2025-03-10 17:37:50,Left,MiddleTip,-0.2092088,1.103658,0.3354184
2025-03-10 17:37:50,Left,RingMetacarpal,-0.1772437,0.9553756,0.310431
2025-03-10 17:37:50,Left,RingProximal,-0.1900581,1.000351,0.3460722
2025-03-10 17:37:50,Left,RingIntermediate,-0.1882462,1.042755,0.3478436
2025-03-10 17:37:50,Left,RingDistal,-0.1869628,1.071533,0.345002
2025-03-10 17:37:50,Left,RingTip,-0.187128,1.09777,0.3408882
2025-03-10 17:37:50,Left,LittleMetacarpal,-0.1681859,0.9581548,0.3096378
2025-03-10 17:37:50,Left,LittleProximal,-0.1675545,0.9986258,0.338527
2025-03-10 17:37:50,Left,LittleIntermediate,-0.1614884,1.031163,0.343466
2025-03-10 17:37:50,Left,LittleDistal,-0.1569421,1.052779,0.3421981
2025-03-10 17:37:50,Left,LittleTip,-0.1543515,1.076557,0.3420312
2025-03-10 17:37:50,Right,Wrist,0.2029525,0.7912933,0.2928723
2025-03-10 17:37:50,Right,Palm,0.1921494,0.8072715,0.3615059
2025-03-10 17:37:50,Right,ThumbMetacarpal,0.1637426,0.7917479,0.3293048
2025-03-10 17:37:50,Right,ThumbProximal,0.1392001,0.7955055,0.3545617
2025-03-10 17:37:50,Right,ThumbDistal,0.1220252,0.7997453,0.3868439
2025-03-10 17:37:50,Right,ThumbTip,0.1056859,0.8017432,0.4080188
2025-03-10 17:37:50,Right,IndexMetacarpal,0.176006,0.7973425,0.3305429
2025-03-10 17:37:50,Right,IndexProximal,0.1662447,0.8204032,0.3901443
2025-03-10 17:37:50,Right,IndexIntermediate,0.1540593,0.8158176,0.4293543
2025-03-10 17:37:50,Right,IndexDistal,0.1457766,0.8036978,0.4513862
2025-03-10 17:37:50,Right,IndexTip,0.1395435,0.7897778,0.4704174
2025-03-10 17:37:50,Right,MiddleMetacarpal,0.1938333,0.7949173,0.3306002
2025-03-10 17:37:50,Right,MiddleProximal,0.1904656,0.8196257,0.3924116
2025-03-10 17:37:50,Right,MiddleIntermediate,0.1887912,0.8182873,0.4391238
2025-03-10 17:37:50,Right,MiddleDistal,0.1842682,0.8055217,0.4659044
2025-03-10 17:37:50,Right,MiddleTip,0.1796626,0.7918256,0.4889784
2025-03-10 17:37:50,Right,RingMetacarpal,0.2132316,0.7925181,0.3333386
